target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
1622,2003,virtual workspac. hybrid multidimension scale. algorithm.,1640,-12.7354530837,-5.10726630557,-4.13320691191,3.18159838995,4.97640105986,-9.3016724576,
1622,2003,virtual workspac. hybrid multidimension scale. algorithm.,2327,-12.7354530837,-5.10726630557,-4.13320691191,3.18159838995,4.97640105986,-9.3016724576,
1623,2003,experiment evalu. continu semant zoom. program. visual.,2226,-2.43174691408,-14.3182025331,-9.81810462674,0.0856517057923,5.20128067609,-15.1553635495,
1624,2003,bard. visual. tool. biolog sequenc. analysi.,1739,11.2254587949,-2.18115866494,-6.76189515415,5.62511482702,0.37243197362,9.34150318128,
1626,2003,causal. visual.,2120,-15.5506633397,-13.4408160529,-2.45959169536,0.312350702392,9.26344526547,6.13476460848,
1627,2003,compound. brush.,2435,-11.2936807844,-17.2821337214,-9.83094003412,-1.12213239226,4.34203715436,-11.7639050339,
1627,2003,compound. brush.,1738,-11.2936807844,-17.2821337214,-9.83094003412,-1.12213239226,4.34203715436,-11.7639050339,
1627,2003,compound. brush.,1937,-11.2936807844,-17.2821337214,-9.83094003412,-1.12213239226,4.34203715436,-11.7639050339,
1627,2003,compound. brush.,2526,-11.2936807844,-17.2821337214,-9.83094003412,-1.12213239226,4.34203715436,-11.7639050339,
1627,2003,compound. brush.,2316,-11.2936807844,-17.2821337214,-9.83094003412,-1.12213239226,4.34203715436,-11.7639050339,
1628,2003,constant densiti. diver. sampl.,2129,-12.5952273803,-12.2054656832,-5.11679099978,2.18092937521,9.26339383482,6.13460580596,
1630,2003,graph. visual explor.,1738,3.80280583701,9.83800167542,-7.12677979735,2.60687765448,9.04020909846,5.94851736149,
1631,2003,design.,2314,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,1747,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,2417,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,2122,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,1751,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,1950,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1631,2003,design.,2586,-5.92270547824,-18.0490493154,-9.40647315553,1.13832585665,9.27134086211,6.13387486334,
1633,2003,dynam. visual. transient.,2327,2.42892299798,-8.59563793337,-9.51949509452,0.753367618932,5.83670942659,-4.13142276206,
1633,2003,dynam. visual. transient.,2273,2.42892299798,-8.59563793337,-9.51949509452,0.753367618932,5.83670942659,-4.13142276206,
1633,2003,dynam. visual. transient.,1735,2.42892299798,-8.59563793337,-9.51949509452,0.753367618932,5.83670942659,-4.13142276206,
1633,2003,dynam. visual. transient.,2410,2.42892299798,-8.59563793337,-9.51949509452,0.753367618932,5.83670942659,-4.13142276206,
1633,2003,dynam. visual. transient.,2040,2.42892299798,-8.59563793337,-9.51949509452,0.753367618932,5.83670942659,-4.13142276206,
1634,2003,interact method. edg. congest. graph.,2225,-3.80779881573,11.197477919,-6.55681713501,4.03904748175,9.27300834771,6.15101864874,
1634,2003,interact method. edg. congest. graph.,2317,-3.80779881573,11.197477919,-6.55681713501,4.03904748175,9.27300834771,6.15101864874,
1635,2003,empir comparison. dynam queri.,2039,2.63704785486,-9.23160849053,-12.1500579184,-3.85872018784,9.2632779481,6.15037102536,
1637,2003,multiform.,2685,-15.8427626906,-15.5094003221,-6.2691850688,-0.678394196087,4.58443478684,-11.8773033169,
1637,2003,multiform.,2132,-15.8427626906,-15.5094003221,-6.2691850688,-0.678394196087,4.58443478684,-11.8773033169,
1638,2003,fundexplor. diversif. mutual fund. context.,1747,-6.88950291243,-0.280194820623,-9.34849545172,1.35332929792,9.23882535962,6.08964678139,
1638,2003,fundexplor. diversif. mutual fund. context.,2600,-6.88950291243,-0.280194820623,-9.34849545172,1.35332929792,9.23882535962,6.08964678139,
1640,2003,hybrid md.,1742,-13.7178061876,-19.6153269356,-10.0094557443,0.949449983526,5.00794492976,-9.27346836802,
1640,2003,hybrid md.,1737,-13.7178061876,-19.6153269356,-10.0094557443,0.949449983526,5.00794492976,-9.27346836802,
1640,2003,hybrid md.,2327,-13.7178061876,-19.6153269356,-10.0094557443,0.949449983526,5.00794492976,-9.27346836802,
1640,2003,hybrid md.,1735,-13.7178061876,-19.6153269356,-10.0094557443,0.949449983526,5.00794492976,-9.27346836802,
1642,2003,point. occlus.,2726,-9.10101249825,-2.81276246397,-6.44755996845,-0.205542237566,9.28044789707,5.96512319012,
1643,2003,interact hierarch dimens. order. explor.,2716,-0.176229865768,11.4459502343,-10.0742079337,-6.39414781381,5.06300119144,-7.59771847062,
1643,2003,interact hierarch dimens. order. explor.,2726,-0.176229865768,11.4459502343,-10.0742079337,-6.39414781381,5.06300119144,-7.59771847062,
1643,2003,interact hierarch dimens. order. explor.,2132,-0.176229865768,11.4459502343,-10.0742079337,-6.39414781381,5.06300119144,-7.59771847062,
1643,2003,interact hierarch dimens. order. explor.,2526,-0.176229865768,11.4459502343,-10.0742079337,-6.39414781381,5.06300119144,-7.59771847062,
1643,2003,interact hierarch dimens. order. explor.,1950,-0.176229865768,11.4459502343,-10.0742079337,-6.39414781381,5.06300119144,-7.59771847062,
