target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
1735,2002,hybrid layout. algorithm. sub-quadrat multidimension scale.,2327,-12.7216377064,-5.11319818067,-5.31245029203,6.28796683372,5.20128067609,-15.1553635495,
1736,2002,space-optim tree. visual.,2130,-5.01745097132,-13.2484768787,-10.8895169556,-3.72297708497,5.20128067609,-15.1553635495,
1736,2002,space-optim tree. visual.,2685,-5.01745097132,-13.2484768787,-10.8895169556,-3.72297708497,5.20128067609,-15.1553635495,
1738,2002,angular brush. extend parallel.,2316,-2.76550972877,-2.98303944452,-9.1853715549,1.3282208095,4.7685449123,-1.37044225825,
1738,2002,angular brush. extend parallel.,2028,-2.76550972877,-2.98303944452,-9.1853715549,1.3282208095,4.7685449123,-1.37044225825,
1738,2002,angular brush. extend parallel.,2526,-2.76550972877,-2.98303944452,-9.1853715549,1.3282208095,4.7685449123,-1.37044225825,
1738,2002,angular brush. extend parallel.,2435,-2.76550972877,-2.98303944452,-9.1853715549,1.3282208095,4.7685449123,-1.37044225825,
1738,2002,angular brush. extend parallel.,2726,-2.76550972877,-2.98303944452,-9.1853715549,1.3282208095,4.7685449123,-1.37044225825,
1739,2002,arc. visual. structur.,2407,-3.08148199816,4.48462822283,-10.656458011,0.522281288161,0.366544991066,9.33983189584,
1739,2002,arc. visual. structur.,2536,-3.08148199816,4.48462822283,-10.656458011,0.522281288161,0.366544991066,9.33983189584,
1740,2002,compact visual.,1855,-14.9024147876,-14.8355792536,-9.0228253744,-0.375464314335,5.20128067609,-15.1553635495,
1740,2002,compact visual.,1839,-14.9024147876,-14.8355792536,-9.0228253744,-0.375464314335,5.20128067609,-15.1553635495,
1740,2002,compact visual.,2035,-14.9024147876,-14.8355792536,-9.0228253744,-0.375464314335,5.20128067609,-15.1553635495,
1740,2002,compact visual.,2685,-14.9024147876,-14.8355792536,-9.0228253744,-0.375464314335,5.20128067609,-15.1553635495,
1741,2002,visual databas. gener.,2306,-10.2223756044,-4.3189009697,-10.001627209,-1.63127204956,5.20128067609,-15.1553635495,
1742,2002,case. studi.,2327,7.23340747622,-14.9576228686,-9.40217945531,4.13807329854,5.20128067609,-15.1553635495,
1742,2002,case. studi.,2557,7.23340747622,-14.9576228686,-9.40217945531,4.13807329854,5.20128067609,-15.1553635495,
1743,2002,ventur. capit.,1861,-11.918172044,-14.9612492955,-5.86010753546,0.652838062138,5.20128067609,-15.1553635495,
1745,2002,effici cartogram. gener. comparison.,2199,-12.0445776032,-7.0644130598,-5.62391177033,0.714713028645,5.20128067609,-15.1553635495,
1745,2002,effici cartogram. gener. comparison.,2153,-12.0445776032,-7.0644130598,-5.62391177033,0.714713028645,5.20128067609,-15.1553635495,
1747,2002,interact inform. visual.,1847,-4.49712730624,9.01720142876,-10.3784157975,-2.32132515114,5.20128067609,-15.1553635495,
1747,2002,interact inform. visual.,2685,-4.49712730624,9.01720142876,-10.3784157975,-2.32132515114,5.20128067609,-15.1553635495,
1747,2002,interact inform. visual.,1841,-4.49712730624,9.01720142876,-10.3784157975,-2.32132515114,5.20128067609,-15.1553635495,
1747,2002,interact inform. visual.,2407,-4.49712730624,9.01720142876,-10.3784157975,-2.32132515114,5.20128067609,-15.1553635495,
1747,2002,interact inform. visual.,2388,-4.49712730624,9.01720142876,-10.3784157975,-2.32132515114,5.20128067609,-15.1553635495,
1749,2002,inter. interact tool.,1839,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,1843,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2220,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2041,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2405,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,1855,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2685,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,1941,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2035,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,1849,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2074,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,1860,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1749,2002,inter. interact tool.,2125,-3.59651517556,11.7979329624,-10.4912008255,2.43755302781,-2.06429201517,1.11738776585,
1750,2002,tupl. attribut aggreg.,1950,-13.341285908,-13.4647042455,-10.3659788139,2.32096396255,5.20128067609,-15.1553635495,
1750,2002,tupl. attribut aggreg.,2214,-13.341285908,-13.4647042455,-10.3659788139,2.32096396255,5.20128067609,-15.1553635495,
1750,2002,tupl. attribut aggreg.,2319,-13.341285908,-13.4647042455,-10.3659788139,2.32096396255,5.20128067609,-15.1553635495,
1751,2002,multiscal. visual.,1950,-9.46193185738,-16.8006409948,-7.61747866203,2.37544872876,5.20128067609,-15.1553635495,
1752,2002,process. visual. detail.,2133,3.00961118582,-6.03879407053,-10.4248669195,-2.36760947634,4.79821775069,-1.29782615451,
1752,2002,process. visual. detail.,1857,3.00961118582,-6.03879407053,-10.4248669195,-2.36760947634,4.79821775069,-1.29782615451,
1753,2002,spacetre. explor. larg node link. tree. design. evolut. empir evalu.,2337,0.504796377762,4.46735263725,-9.2892784497,4.4713065228,5.20128067609,-15.1553635495,
1754,2002,illus. structur.,1838,-3.08143577705,4.48465613623,-9.86064731913,0.515665618743,5.20128067609,-15.1553635495,
1755,2002,visual path. analysi.,1845,10.8488617753,-0.639372723306,0.364078112125,4.19240870728,5.20128067609,-15.1553635495,
1756,2002,visual unrol. network. evolut. analysi. dynam discours.,1841,10.3688979279,-4.06569368886,-9.08555812256,6.19502166922,5.20128067609,-15.1553635495,
1757,2002,visual. schema. flexibl inform. visual.,2401,-1.63113511707,-22.5614427765,-7.99101486526,0.789387209537,5.20128067609,-15.1553635495,
1757,2002,visual. schema. flexibl inform. visual.,2217,-1.63113511707,-22.5614427765,-7.99101486526,0.789387209537,5.20128067609,-15.1553635495,
1758,2002,biosequ. textur. map.,2173,-2.05448480284,1.19825016477,-12.1213152677,1.69403558118,5.20128067609,-15.1553635495,
1758,2002,biosequ. textur. map.,1851,-2.05448480284,1.19825016477,-12.1213152677,1.69403558118,5.20128067609,-15.1553635495,
1759,2002,bound uncertainti.,2495,0.480381406296,-16.485193358,2.68968499322,5.07226454029,-2.00960710911,-8.67457298615,
1759,2002,bound uncertainti.,2001,0.480381406296,-16.485193358,2.68968499322,5.07226454029,-2.00960710911,-8.67457298615,
1759,2002,bound uncertainti.,2041,0.480381406296,-16.485193358,2.68968499322,5.07226454029,-2.00960710911,-8.67457298615,
1760,2002,case. studi. select visual. flow.,2524,6.33618399491,-14.3734339962,1.92580646385,2.65565094847,-5.44578889142,-7.94028649382,
1760,2002,case. studi. select visual. flow.,1902,6.33618399491,-14.3734339962,1.92580646385,2.65565094847,-5.44578889142,-7.94028649382,
1761,2002,case. studi. automat camera. placement. motion.,1863,7.08170886997,-15.8217457976,-6.5864924731,-7.94720107736,0.256025210676,8.69041198458,
