target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
681,2010,backchannel. large-scal.,881,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,1086,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,979,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,982,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,1352,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,1649,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,1018,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
681,2010,backchannel. large-scal.,860,-1.79888851311,-1.17037351379,-7.73929509365,2.06375236134,9.23416607234,5.94568392137,
683,2010,behavior. framework. visual.,1496,-4.84937293878,0.318151963139,-6.20948939934,4.22564427478,9.26362157432,6.13019405625,
683,2010,behavior. framework. visual.,2379,-4.84937293878,0.318151963139,-6.20948939934,4.22564427478,9.26362157432,6.13019405625,
683,2010,behavior. framework. visual.,2214,-4.84937293878,0.318151963139,-6.20948939934,4.22564427478,9.26362157432,6.13019405625,
683,2010,behavior. framework. visual.,814,-4.84937293878,0.318151963139,-6.20948939934,4.22564427478,9.26362157432,6.13019405625,
684,2010,compar analysi. multidimension. quantit data.,2338,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,2726,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,1219,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,1087,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,1106,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,833,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
684,2010,compar analysi. multidimension. quantit data.,1950,13.1677131603,2.59497106025,-8.24662211069,-1.45674256749,3.13038037339,-12.5101225827,
685,2010,languag design. interact visual.,835,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1226,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1457,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1093,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,820,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,2586,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,844,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,813,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1084,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1496,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
685,2010,languag design. interact visual.,1950,-3.27672445957,9.62275021729,-12.5457855643,0.384728838014,9.09144394967,5.33290881104,
686,2010,eseetrack. amp. sequenti. fixat. pattern.,816,-5.8157521234,-9.43895654441,-4.78454992648,-1.27169895997,5.20128067609,-15.1553635495,
686,2010,eseetrack. amp. sequenti. fixat. pattern.,839,-5.8157521234,-9.43895654441,-4.78454992648,-1.27169895997,5.20128067609,-15.1553635495,
686,2010,eseetrack. amp. sequenti. fixat. pattern.,981,-5.8157521234,-9.43895654441,-4.78454992648,-1.27169895997,5.20128067609,-15.1553635495,
687,2010,impact. task. block. resolut. effect. pixel-bas visual.,2415,-13.5634644697,2.94872155506,-0.404190780347,-5.49403269603,2.39435918015,-0.972407659116,
688,2010,visual. rich text corpus.,1214,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,881,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,1952,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,824,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,967,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,981,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,823,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,834,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,1357,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,1218,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,1219,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,2201,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,832,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,2410,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
688,2010,visual. rich text corpus.,1229,0.958793014022,-4.42105610421,-11.8018700471,1.26742238285,-2.05091837568,1.10751981758,
689,2010,system. larg.,1747,-0.707013308238,5.43843078807,-10.9062282231,-0.765026468845,3.49606581436,2.20140282584,
689,2010,system. larg.,1342,-0.707013308238,5.43843078807,-10.9062282231,-0.765026468845,3.49606581436,2.20140282584,
690,2010,graphic infer. infovi.,1093,-11.7442505677,-15.788285037,-9.36830927666,-0.695939910769,4.82646592259,-12.9414125931,
691,2010,percept. multipl time seri.,979,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
691,2010,percept. multipl time seri.,1096,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
691,2010,percept. multipl time seri.,1082,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
691,2010,percept. multipl time seri.,2033,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
691,2010,percept. multipl time seri.,963,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
691,2010,percept. multipl time seri.,1353,2.44916877918,3.25821215911,-7.81959044689,3.93549739892,2.28288903528,-0.358519912639,
692,2010,gremlin. visual model. analyz genom.,835,4.13853334198,1.24119166781,-7.22846435281,1.75845870362,9.23453889555,6.12166962977,
692,2010,gremlin. visual model. analyz genom.,833,4.13853334198,1.24119166781,-7.22846435281,1.75845870362,9.23453889555,6.12166962977,
693,2010,inform visual novic construct visual.,1101,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1223,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1086,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,863,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,959,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1260,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1093,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,996,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,995,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1082,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1343,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,2122,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1099,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1950,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1840,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,1937,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
693,2010,inform visual novic construct visual.,968,-1.59746467373,-22.5313669464,-11.7977008471,-2.3983558156,1.08618951518,8.26273253223,
694,2010,law. attract. perceptu forc. conceptu similar.,963,-13.6229291974,-19.8384140313,-9.25955317984,0.28496698803,6.2739879693,1.8722923101,
695,2010,maniwordl. flexibl control. wordl.,1086,-8.88816673098,-8.60033681285,-5.2317850801,6.87593804285,2.60203214214,-2.106155676,
695,2010,maniwordl. flexibl control. wordl.,1101,-8.88816673098,-8.60033681285,-5.2317850801,6.87593804285,2.60203214214,-2.106155676,
695,2010,maniwordl. flexibl control. wordl.,834,-8.88816673098,-8.60033681285,-5.2317850801,6.87593804285,2.60203214214,-2.106155676,
695,2010,maniwordl. flexibl control. wordl.,881,-8.88816673098,-8.60033681285,-5.2317850801,6.87593804285,2.60203214214,-2.106155676,
695,2010,maniwordl. flexibl control. wordl.,1625,-8.88816673098,-8.60033681285,-5.2317850801,6.87593804285,2.60203214214,-2.106155676,
696,2010,salienc. confid. plot. uncertain data.,1039,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,1857,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,1068,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,837,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,1759,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,916,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,2074,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,907,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,1308,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,1450,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,2526,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,977,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
696,2010,salienc. confid. plot. uncertain data.,909,11.6831116942,7.33387959444,-6.87905610582,-0.809241715097,3.83812297773,-3.51395419025,
