target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
1839,2001,comparison.,2125,-8.26550180371,-16.1557474609,-9.33137245696,4.30294337682,5.20128067609,-15.1553635495,
1839,2001,comparison.,2600,-8.26550180371,-16.1557474609,-9.33137245696,4.30294337682,5.20128067609,-15.1553635495,
1840,2001,empir comparison. commerci inform. visual.,2401,-2.33350903136,-20.873599837,-9.14153233183,-1.00780546089,5.20128067609,-15.1553635495,
1841,2001,anim explor. dynam graph. radial layout.,2220,4.02501049733,5.53364558322,-5.35484255503,6.51262833786,3.50384401138,2.13884427333,
1843,2001,botan visual.,2405,-14.8214294641,-19.2999535191,-9.39834971789,4.1302639496,6.28616266166,1.85618098601,
1843,2001,botan visual.,2035,-14.8214294641,-19.2999535191,-9.39834971789,4.1302639496,6.28616266166,1.85618098601,
1844,2001,case. studi. design. ass. enhanc geograph inform. system. explor. multivari. health.,2126,7.02159947462,-16.9755323303,-6.49066707424,-4.57142974673,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,2135,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,2220,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,2137,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,1954,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,1940,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,2394,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,2321,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1845,2001,case. studi. e-commerc clickstream. visual.,1949,7.25046118914,-14.9672865896,0.376831943901,4.20212362183,5.20128067609,-15.1553635495,
1847,2001,chang. blind. inform. visual. case. studi.,2219,7.69529874375,-16.4440422628,-9.54627300006,-0.275094296136,5.20128067609,-15.1553635495,
1847,2001,chang. blind. inform. visual. case. studi.,1947,7.69529874375,-16.4440422628,-9.54627300006,-0.275094296136,5.20128067609,-15.1553635495,
1847,2001,chang. blind. inform. visual. case. studi.,2400,7.69529874375,-16.4440422628,-9.54627300006,-0.275094296136,5.20128067609,-15.1553635495,
1847,2001,chang. blind. inform. visual. case. studi.,2410,7.69529874375,-16.4440422628,-9.54627300006,-0.275094296136,5.20128067609,-15.1553635495,
1847,2001,chang. blind. inform. visual. case. studi.,2399,7.69529874375,-16.4440422628,-9.54627300006,-0.275094296136,5.20128067609,-15.1553635495,
1848,2001,cluster. stabil. use. nois. interpret.,2410,6.92142597416,-4.69336626442,-2.68198352874,7.40798164123,5.20128067609,-15.1553635495,
1849,2001,fast hierarch navig. techniqu.,2220,-8.64911252877,-1.29049941041,-9.31236202799,4.29581748116,0.373404370873,9.34681394637,
1849,2001,fast hierarch navig. techniqu.,2400,-8.64911252877,-1.29049941041,-9.31236202799,4.29581748116,0.373404370873,9.34681394637,
1849,2001,fast hierarch navig. techniqu.,2685,-8.64911252877,-1.29049941041,-9.31236202799,4.29581748116,0.373404370873,9.34681394637,
1851,2001,composit. visual. paradigm.,2225,-10.9835739764,-18.0153460098,-8.28970118097,0.471696359755,5.20128067609,-15.1553635495,
