target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
1327,2005,note.,1855,-15.8102304009,-14.7398143537,-5.2581053506,6.7807577639,-2.29809251755,5.06245904156,
1327,2005,note.,1736,-15.8102304009,-14.7398143537,-5.2581053506,6.7807577639,-2.29809251755,5.06245904156,
1330,2005,evalu.,1941,-2.44291786209,-14.3089199567,-9.6691119822,2.43096439284,4.73856186257,0.0637948059677,
1330,2005,evalu.,1466,-2.44291786209,-14.3089199567,-9.6691119822,2.43096439284,4.73856186257,0.0637948059677,
1331,2005,integr. star. glyph.,2435,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1627,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1634,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1738,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1503,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1643,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1460,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1500,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,2074,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,1749,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,2526,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,2273,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1331,2005,integr. star. glyph.,2726,-5.14845263523,-10.4861361749,-1.31746551425,3.09558286954,-2.00614662178,1.09767856862,
1332,2005,optimization-bas approach. visual context. manag.,1941,-6.78832840459,1.04667382051,-9.02674455926,2.4254190855,5.20128067609,-15.1553635495,
1332,2005,optimization-bas approach. visual context. manag.,1943,-6.78832840459,1.04667382051,-9.02674455926,2.4254190855,5.20128067609,-15.1553635495,
1332,2005,optimization-bas approach. visual context. manag.,2220,-6.78832840459,1.04667382051,-9.02674455926,2.4254190855,5.20128067609,-15.1553635495,
1333,2005,babi. visual. analysi.,1455,10.8533048815,-0.550963167293,-9.85593011676,-0.86223306962,1.3648968896,2.73386165399,
1333,2005,babi. visual. analysi.,1952,10.8533048815,-0.550963167293,-9.85593011676,-0.86223306962,1.3648968896,2.73386165399,
1336,2005,combin.,1941,-14.2654197019,-19.046592076,-7.63573684409,5.60638143433,4.66428510282,-11.2236023093,
1336,2005,combin.,1753,-14.2654197019,-19.046592076,-7.63573684409,5.60638143433,4.66428510282,-11.2236023093,
1337,2005,flow. map. layout.,2394,3.30772271851,-10.8946486776,-2.00427891917,0.996608870556,2.34802724928,-15.4724597995,
1337,2005,flow. map. layout.,2321,3.30772271851,-10.8946486776,-2.00427891917,0.996608870556,2.34802724928,-15.4724597995,
1338,2005,,1637,-14.0792396264,-16.6476332384,-9.45094146289,-0.370841541798,0.37432731546,9.34586328418,
1338,2005,,1450,-14.0792396264,-16.6476332384,-9.45094146289,-0.370841541798,0.37432731546,9.34586328418,
1338,2005,,1460,-14.0792396264,-16.6476332384,-9.45094146289,-0.370841541798,0.37432731546,9.34586328418,
1340,2005,importance-driven visual. larg time. seri.,2031,3.21347467859,3.34316565456,-8.0102908643,4.21695908861,9.26680994392,6.14602667395,
1340,2005,importance-driven visual. larg time. seri.,2033,3.21347467859,3.34316565456,-8.0102908643,4.21695908861,9.26680994392,6.14602667395,
1340,2005,importance-driven visual. larg time. seri.,2452,3.21347467859,3.34316565456,-8.0102908643,4.21695908861,9.26680994392,6.14602667395,
1340,2005,importance-driven visual. larg time. seri.,2035,3.21347467859,3.34316565456,-8.0102908643,4.21695908861,9.26680994392,6.14602667395,
1340,2005,importance-driven visual. larg time. seri.,1950,3.21347467859,3.34316565456,-8.0102908643,4.21695908861,9.26680994392,6.14602667395,
1341,2005,sankey. diagram.,2557,-9.40366488101,-16.0516124764,-0.949628063997,0.774788237861,5.20128067609,-15.1553635495,
1341,2005,sankey. diagram.,2321,-9.40366488101,-16.0516124764,-0.949628063997,0.774788237861,5.20128067609,-15.1553635495,
